# lightsensor calibration v1
# device_id: dummy-0001
# cal_date: 2026-06-19
# resp_units: A/W (relative, peak-normalized)
# scale_factor: 1.0
# scale_units: W/m^2
# cal_gain: 1
wavelength_nm,responsivity
350,0.06218
351,0.06392
352,0.06571
353,0.06754
354,0.06941
355,0.07132
356,0.07327
357,0.07527
358,0.07730
359,0.07939
360,0.08152
361,0.08369
362,0.08591
363,0.08818
364,0.09049
365,0.09285
366,0.09526
367,0.09772
368,0.10023
369,0.10279
370,0.10540
371,0.10806
372,0.11077
373,0.11354
374,0.11635
375,0.11923
376,0.12215
377,0.12513
378,0.12816
379,0.13125
380,0.13440
381,0.13760
382,0.14086
383,0.14417
384,0.14755
385,0.15098
386,0.15447
387,0.15801
388,0.16162
389,0.16529
390,0.16901
391,0.17280
392,0.17665
393,0.18055
394,0.18452
395,0.18855
396,0.19264
397,0.19679
398,0.20100
399,0.20528
400,0.20961
401,0.21401
402,0.21847
403,0.22299
404,0.22757
405,0.23222
406,0.23693
407,0.24170
408,0.24653
409,0.25142
410,0.25638
411,0.26139
412,0.26647
413,0.27161
414,0.27680
415,0.28206
416,0.28738
417,0.29276
418,0.29820
419,0.30369
420,0.30925
421,0.31486
422,0.32053
423,0.32626
424,0.33204
425,0.33788
426,0.34377
427,0.34972
428,0.35572
429,0.36177
430,0.36788
431,0.37404
432,0.38024
433,0.38650
434,0.39280
435,0.39916
436,0.40555
437,0.41200
438,0.41849
439,0.42502
440,0.43159
441,0.43820
442,0.44486
443,0.45155
444,0.45828
445,0.46504
446,0.47184
447,0.47867
448,0.48554
449,0.49243
450,0.49935
451,0.50630
452,0.51327
453,0.52027
454,0.52729
455,0.53433
456,0.54139
457,0.54847
458,0.55556
459,0.56267
460,0.56978
461,0.57691
462,0.58404
463,0.59119
464,0.59833
465,0.60548
466,0.61263
467,0.61977
468,0.62691
469,0.63405
470,0.64118
471,0.64830
472,0.65541
473,0.66250
474,0.66958
475,0.67663
476,0.68367
477,0.69069
478,0.69768
479,0.70464
480,0.71157
481,0.71847
482,0.72534
483,0.73217
484,0.73897
485,0.74572
486,0.75243
487,0.75910
488,0.76572
489,0.77228
490,0.77880
491,0.78526
492,0.79167
493,0.79802
494,0.80430
495,0.81053
496,0.81669
497,0.82278
498,0.82880
499,0.83475
500,0.84062
501,0.84642
502,0.85214
503,0.85778
504,0.86334
505,0.86882
506,0.87420
507,0.87950
508,0.88471
509,0.88982
510,0.89484
511,0.89976
512,0.90459
513,0.90931
514,0.91393
515,0.91845
516,0.92286
