# lightsensor calibration v1
# device_id: bpw34-typical
# cal_date: 2011-08-23
# source: Vishay BPW34 datasheet (doc 81521, rev 2.1), Fig. 7
# provenance: datasheet-typical
# resp_units: relative (peak-normalized at 900 nm)
# detector: BPW34
# sensitive_area_mm2: 7.5
# transimpedance_ohms: 2e6
# scale_factor: 0.103
# scale_units: W/m^2
# note: NOMINAL datasheet-only scale. scale_factor = 1/(R_peak*A*R_f): R_peak=0.646 A/W
# note2: (from I_k=47uA at 1mW/cm^2, 950nm, renormalized to the 900nm peak), A=7.5mm^2,
# note3: R_f=2MOhm. Good to ~datasheet tolerance (+-20%); replace with a measured cal.
# note4: source=None assumes monochromatic light at the 900nm peak.
wavelength_nm,responsivity
380,0.0000
385,0.0100
390,0.0200
395,0.0300
400,0.0400
405,0.0500
410,0.0600
415,0.0700
420,0.0800
425,0.0900
430,0.1000
435,0.1117
440,0.1233
445,0.1350
450,0.1467
455,0.1583
460,0.1700
465,0.1800
470,0.1900
475,0.2000
480,0.2100
485,0.2200
490,0.2300
495,0.2400
500,0.2500
505,0.2590
510,0.2680
515,0.2770
520,0.2860
525,0.2950
530,0.3040
535,0.3130
540,0.3220
545,0.3310
550,0.3400
555,0.3500
560,0.3600
565,0.3700
570,0.3800
575,0.3900
580,0.4000
585,0.4100
590,0.4200
595,0.4300
600,0.4400
605,0.4500
610,0.4600
615,0.4700
620,0.4800
625,0.4900
630,0.5000
635,0.5100
640,0.5200
645,0.5300
650,0.5400
655,0.5500
660,0.5600
665,0.5700
670,0.5800
675,0.5900
680,0.6000
685,0.6100
690,0.6200
695,0.6300
700,0.6400
705,0.6490
710,0.6580
715,0.6670
720,0.6760
725,0.6850
730,0.6940
735,0.7030
740,0.7120
745,0.7210
750,0.7300
755,0.7390
760,0.7480
765,0.7570
770,0.7660
775,0.7750
780,0.7840
785,0.7930
790,0.8020
795,0.8110
800,0.8200
805,0.8290
810,0.8380
815,0.8470
820,0.8560
825,0.8650
830,0.8740
835,0.8830
840,0.8920
845,0.9010
850,0.9100
855,0.9200
860,0.9300
865,0.9400
870,0.9500
875,0.9600
880,0.9700
885,0.9775
890,0.9850
895,0.9925
900,1.0000
905,1.0000
910,1.0000
915,1.0000
920,1.0000
925,0.9950
930,0.9900
935,0.9850
940,0.9800
945,0.9750
950,0.9700
955,0.9617
960,0.9533
965,0.9450
970,0.9367
975,0.9283
980,0.9200
985,0.9100
990,0.9000
995,0.8900
1000,0.8800
1005,0.8633
1010,0.8467
1015,0.8300
1020,0.8133
1025,0.7967
1030,0.7800
1035,0.7500
1040,0.7200
1045,0.6900
1050,0.6600
1055,0.6133
1060,0.5667
1065,0.5200
1070,0.4733
1075,0.4267
1080,0.3800
1085,0.3100
1090,0.2400
1095,0.1700
1100,0.1000
1105,0.0867
1110,0.0733
1115,0.0600
1120,0.0467
1125,0.0333
1130,0.0200
1135,0.0150
1140,0.0100
1145,0.0050
1150,0.0000
